City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bonavista,CA,48.6499,-53.1147,72.21,68,79,12.75,broken clouds
79,San Marco In Lamis,IT,41.7131,15.6399,79.72,28,0,1.63,clear sky
80,Antalaha,MG,-14.9003,50.2788,69.19,77,95,7.94,overcast clouds
81,Taltal,CL,-25.4,-70.4833,60.64,65,17,4.14,few clouds
82,Fortuna,US,40.5982,-124.1573,72.93,77,20,9.22,few clouds
83,Albany,US,42.6001,-73.9662,87.17,75,100,4.21,overcast clouds
84,Cherskiy,RU,68.75,161.3,47.32,71,100,7.43,overcast clouds
85,Margate,GB,51.3813,1.3862,70.11,52,5,4.0,clear sky
86,Yumen,CN,40.2833,97.2,77.47,40,100,10.33,overcast clouds
87,Avarua,CK,-21.2078,-159.775,71.65,83,75,14.97,broken clouds
88,Pangnirtung,CA,66.1451,-65.7125,41.0,93,100,5.75,mist
89,Erzin,TR,36.9559,36.2,78.93,76,0,2.82,clear sky
90,Ribeira Grande,PT,38.5167,-28.7,81.0,69,20,4.61,few clouds
91,Cochrane,CA,51.1834,-114.4687,58.64,54,40,16.11,scattered clouds
92,Bassano,CA,50.7834,-112.4685,60.03,51,17,23.31,few clouds
93,Shimoda,JP,34.6667,138.95,70.11,84,97,7.9,overcast clouds
94,Carnarvon,AU,-24.8667,113.6333,61.54,55,0,14.58,clear sky
95,Monaghan,IE,54.25,-6.9667,64.38,61,96,10.56,overcast clouds
96,Isangel,VU,-19.55,169.2667,74.91,82,90,9.13,overcast clouds
97,Kapaa,US,22.0752,-159.319,73.72,94,40,4.61,scattered clouds
98,Samdari,IN,25.8167,72.5833,80.96,80,100,9.98,overcast clouds
99,Tilichiki,RU,60.4667,166.1,52.83,88,100,5.55,overcast clouds
100,Giovinazzo,IT,41.1864,16.6674,90.84,51,0,5.75,clear sky
101,Barrow,US,71.2906,-156.7887,45.95,87,84,11.61,broken clouds
102,Chake Chake,TZ,-5.2459,39.7666,71.53,78,1,8.81,clear sky
103,Mataura,NZ,-46.1927,168.8643,45.3,93,97,3.22,overcast clouds
104,Tarauaca,BR,-8.1614,-70.7656,71.55,99,100,1.12,overcast clouds
105,Liverpool,GB,53.4106,-2.9779,65.28,57,40,17.27,scattered clouds
106,Mahebourg,MU,-20.4081,57.7,70.25,83,75,11.5,broken clouds
107,Asau,RO,46.4333,26.4,79.72,72,63,2.01,broken clouds
108,Padang,ID,-0.9492,100.3543,76.32,76,78,3.85,broken clouds
109,Labuhan,ID,-6.8844,112.2051,74.62,87,69,6.55,broken clouds
110,Severo-Kurilsk,RU,50.6789,156.125,53.17,89,100,5.01,overcast clouds
111,Ogbomosho,NG,8.133,4.25,82.58,72,55,2.77,broken clouds
112,Khatanga,RU,71.9667,102.5,55.69,67,0,6.89,clear sky
113,Chinhoyi,ZW,-17.3667,30.2,67.05,27,0,5.61,clear sky
114,Upernavik,GL,72.7868,-56.1549,42.58,92,100,9.17,overcast clouds
115,Kruisfontein,ZA,-34.0033,24.7314,57.31,77,72,13.24,broken clouds
116,Kenai,US,60.5544,-151.2583,55.09,92,100,11.5,overcast clouds
117,Faanui,PF,-16.4833,-151.75,77.95,76,59,25.9,light rain
118,Nanortalik,GL,60.1432,-45.2371,46.06,90,100,9.13,light rain
119,Tias,ES,28.9611,-13.645,78.48,61,20,24.16,few clouds
120,Airai,TL,-8.9266,125.4092,56.05,90,95,2.46,overcast clouds
121,Kavaratti,IN,10.5669,72.642,80.31,81,100,21.09,overcast clouds
122,Avera,US,33.194,-82.5271,93.54,40,83,6.02,broken clouds
123,Kodinar,IN,20.7903,70.7031,80.67,86,100,4.45,overcast clouds
124,Ngunguru,NZ,-35.6167,174.5,50.67,74,49,5.03,scattered clouds
125,Hermanus,ZA,-34.4187,19.2345,53.8,77,18,7.76,few clouds
126,Sal Rei,CV,16.1833,-22.9167,84.4,65,40,13.8,scattered clouds
127,Beloha,MG,-25.1667,45.05,63.18,79,0,1.34,clear sky
128,Hirara,JP,24.8,125.2833,84.38,72,11,8.16,few clouds
129,Arman,RU,59.7,150.1667,57.02,98,98,4.43,overcast clouds
130,San Ignacio,BZ,17.1561,-89.0714,90.66,44,96,7.7,overcast clouds
131,Lebu,CL,-37.6167,-73.65,52.36,93,100,4.61,light rain
132,Laguna,US,38.421,-121.4238,76.28,61,0,10.36,clear sky
133,Prince Rupert,CA,54.3161,-130.3201,59.09,87,100,5.75,overcast clouds
134,Luderitz,NA,-26.6481,15.1594,61.9,65,95,8.93,overcast clouds
135,Sept-Iles,CA,50.2001,-66.3821,76.05,39,20,10.36,few clouds
136,Huaraz,PE,-9.5333,-77.5333,62.6,49,100,5.5,overcast clouds
137,Alofi,NU,-19.0595,-169.9187,73.29,94,100,9.22,overcast clouds
138,Cururupu,BR,-1.8283,-44.8683,85.82,59,26,7.87,scattered clouds
139,Lorengau,PG,-2.0226,147.2712,79.03,81,100,2.3,moderate rain
140,Poum,NC,-20.2333,164.0167,74.05,84,7,6.76,clear sky
141,Terney,RU,45.0503,136.6092,68.72,98,100,3.31,overcast clouds
142,Omboue,GA,-1.5746,9.2618,72.57,81,94,8.97,overcast clouds
143,Agadez,NE,19.75,10.25,99.18,16,9,8.46,clear sky
144,San Patricio,US,28.017,-97.5169,97.07,35,98,11.9,overcast clouds
145,Matamoros,MX,25.5333,-103.25,86.11,35,40,5.75,scattered clouds
146,Port-Gentil,GA,-0.7193,8.7815,75.16,78,20,12.66,few clouds
147,Savonlinna,FI,61.8699,28.88,77.05,50,0,12.66,clear sky
148,Turukhansk,RU,65.8167,87.9833,63.32,63,100,4.99,overcast clouds
149,Malyye Derbety,RU,47.9547,44.6808,84.79,23,83,15.43,broken clouds
150,Geraldton,AU,-28.7667,114.6,46.81,93,30,10.36,scattered clouds
151,Rio Bueno,CL,-40.3167,-72.9667,47.1,96,100,0.94,overcast clouds
152,Abancay,PE,-13.6339,-72.8814,67.33,51,100,7.18,overcast clouds
153,Jabinyanah,TN,35.035,10.9081,87.6,56,0,12.44,clear sky
154,Kodiak,US,57.79,-152.4072,54.91,94,100,0.0,light rain
